Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 2.0000 V	 0 V	 0 V	 0 V	 10.41080 uA	 1.041080000 uA/um
2	 2.0000 V	 0 V	 5.0 mV	 0 V	 252.890 uA	 25.28900000 uA/um
3	 2.0000 V	 0 V	 10.0 mV	 0 V	 495.430 uA	 49.54300000 uA/um
4	 2.0000 V	 0 V	 15.0 mV	 0 V	 738.410 uA	 73.84100000 uA/um
5	 2.0000 V	 0 V	 20.0 mV	 0 V	 990.130 uA	 99.01300000 uA/um
6	 2.0000 V	 0 V	 25.0 mV	 0 V	 1.23310 mA	 123.3100000 uA/um
7	 2.0000 V	 0 V	 30.0 mV	 0 V	 1.47350 mA	 147.3500000 uA/um
8	 2.0000 V	 0 V	 35.0 mV	 0 V	 1.71520 mA	 171.5200000 uA/um
9	 2.0000 V	 0 V	 40.0 mV	 0 V	 1.96850 mA	 196.8500000 uA/um
10	 2.0000 V	 0 V	 45.0 mV	 0 V	 2.20860 mA	 220.8600000 uA/um
11	 2.0000 V	 0 V	 50.0 mV	 0 V	 2.44890 mA	 244.8900000 uA/um
12	 2.0000 V	 0 V	 55.0 mV	 0 V	 2.70140 mA	 270.1400000 uA/um
13	 2.0000 V	 0 V	 60.0 mV	 0 V	 2.94050 mA	 294.0500000 uA/um
14	 2.0000 V	 0 V	 65.0 mV	 0 V	 3.17990 mA	 317.9900000 uA/um
15	 2.0000 V	 0 V	 70.0 mV	 0 V	 3.42310 mA	 342.3100000 uA/um
16	 2.0000 V	 0 V	 75.0 mV	 0 V	 3.67280 mA	 367.2800000 uA/um
17	 2.0000 V	 0 V	 80.0 mV	 0 V	 3.90890 mA	 390.8900000 uA/um
18	 2.0000 V	 0 V	 85.0 mV	 0 V	 4.15140 mA	 415.1400000 uA/um
19	 2.0000 V	 0 V	 90.0 mV	 0 V	 4.39240 mA	 439.2400000 uA/um
20	 2.0000 V	 0 V	 95.0 mV	 0 V	 4.64010 mA	 464.0100000 uA/um
21	 2.0000 V	 0 V	 100.0 mV	 0 V	 4.87510 mA	 487.5100000 uA/um
22	 2.0000 V	 0 V	 105.0 mV	 0 V	 5.11400 mA	 511.4000000 uA/um
23	 2.0000 V	 0 V	 110.0 mV	 0 V	 5.35670 mA	 535.6700000 uA/um
24	 2.0000 V	 0 V	 115.0 mV	 0 V	 5.60280 mA	 560.2800000 uA/um
25	 2.0000 V	 0 V	 120.0 mV	 0 V	 5.83740 mA	 583.7400000 uA/um
26	 2.0000 V	 0 V	 125.0 mV	 0 V	 6.07530 mA	 607.5300000 uA/um
27	 2.0000 V	 0 V	 130.0 mV	 0 V	 6.31680 mA	 631.6800000 uA/um
28	 2.0000 V	 0 V	 135.0 mV	 0 V	 6.55900 mA	 655.9000000 uA/um
29	 2.0000 V	 0 V	 140.0 mV	 0 V	 6.79370 mA	 679.3700000 uA/um
30	 2.0000 V	 0 V	 145.0 mV	 0 V	 7.03560 mA	 703.5600000 uA/um
31	 2.0000 V	 0 V	 150.0 mV	 0 V	 7.26990 mA	 726.9900000 uA/um
32	 2.0000 V	 0 V	 155.0 mV	 0 V	 7.50930 mA	 750.9300000 uA/um
33	 2.0000 V	 0 V	 160.0 mV	 0 V	 7.74550 mA	 774.5500000 uA/um
34	 2.0000 V	 0 V	 165.0 mV	 0 V	 7.98490 mA	 798.4900000 uA/um
35	 2.0000 V	 0 V	 170.0 mV	 0 V	 8.21770 mA	 821.7700000 uA/um
36	 2.0000 V	 0 V	 175.0 mV	 0 V	 8.45650 mA	 845.6500000 uA/um
37	 2.0000 V	 0 V	 180.0 mV	 0 V	 8.69070 mA	 869.0700000 uA/um
38	 2.0000 V	 0 V	 185.0 mV	 0 V	 8.93140 mA	 893.1400000 uA/um
39	 2.0000 V	 0 V	 190.0 mV	 0 V	 9.17170 mA	 917.1700000 uA/um
40	 2.0000 V	 0 V	 195.0 mV	 0 V	 9.39930 mA	 939.9300000 uA/um
41	 2.0000 V	 0 V	 200.0 mV	 0 V	 9.63010 mA	 963.0100000 uA/um
42	 2.0000 V	 0 V	 205.0 mV	 0 V	 9.86770 mA	 986.7700000 uA/um
43	 2.0000 V	 0 V	 210.0 mV	 0 V	 10.10710 mA	 1.010710000 mA/um
44	 2.0000 V	 0 V	 215.0 mV	 0 V	 10.33080 mA	 1.033080000 mA/um
45	 2.0000 V	 0 V	 220.0 mV	 0 V	 10.56770 mA	 1.056770000 mA/um
46	 2.0000 V	 0 V	 225.0 mV	 0 V	 10.80030 mA	 1.080030000 mA/um
47	 2.0000 V	 0 V	 230.0 mV	 0 V	 11.03370 mA	 1.103370000 mA/um
48	 2.0000 V	 0 V	 235.0 mV	 0 V	 11.26240 mA	 1.126240000 mA/um
49	 2.0000 V	 0 V	 240.0 mV	 0 V	 11.49750 mA	 1.149750000 mA/um
50	 2.0000 V	 0 V	 245.0 mV	 0 V	 11.7140 mA	 1.171400000 mA/um
51	 2.0000 V	 0 V	 250.0 mV	 0 V	 11.9490 mA	 1.194900000 mA/um
52	 2.0000 V	 0 V	 255.0 mV	 0 V	 12.1710 mA	 1.217100000 mA/um
53	 2.0000 V	 0 V	 260.0 mV	 0 V	 12.4040 mA	 1.240400000 mA/um
54	 2.0000 V	 0 V	 265.0 mV	 0 V	 12.6340 mA	 1.263400000 mA/um
55	 2.0000 V	 0 V	 270.0 mV	 0 V	 12.8660 mA	 1.286600000 mA/um
56	 2.0000 V	 0 V	 275.0 mV	 0 V	 13.0890 mA	 1.308900000 mA/um
57	 2.0000 V	 0 V	 280.0 mV	 0 V	 13.3150 mA	 1.331500000 mA/um
58	 2.0000 V	 0 V	 285.0 mV	 0 V	 13.5510 mA	 1.355100000 mA/um
59	 2.0000 V	 0 V	 290.0 mV	 0 V	 13.7790 mA	 1.377900000 mA/um
60	 2.0000 V	 0 V	 295.0 mV	 0 V	 13.9960 mA	 1.399600000 mA/um
61	 2.0000 V	 0 V	 300.0 mV	 0 V	 14.2210 mA	 1.422100000 mA/um
62	 2.0000 V	 0 V	 305.0 mV	 0 V	 14.4590 mA	 1.445900000 mA/um
63	 2.0000 V	 0 V	 310.0 mV	 0 V	 14.6820 mA	 1.468200000 mA/um
64	 2.0000 V	 0 V	 315.0 mV	 0 V	 14.8960 mA	 1.489600000 mA/um
65	 2.0000 V	 0 V	 320.0 mV	 0 V	 15.1260 mA	 1.512600000 mA/um
66	 2.0000 V	 0 V	 325.0 mV	 0 V	 15.3610 mA	 1.536100000 mA/um
67	 2.0000 V	 0 V	 330.0 mV	 0 V	 15.5710 mA	 1.557100000 mA/um
68	 2.0000 V	 0 V	 335.0 mV	 0 V	 15.7930 mA	 1.579300000 mA/um
69	 2.0000 V	 0 V	 340.0 mV	 0 V	 16.0210 mA	 1.602100000 mA/um
70	 2.0000 V	 0 V	 345.0 mV	 0 V	 16.2510 mA	 1.625100000 mA/um
71	 2.0000 V	 0 V	 350.0 mV	 0 V	 16.4640 mA	 1.646400000 mA/um
72	 2.0000 V	 0 V	 355.0 mV	 0 V	 16.6820 mA	 1.668200000 mA/um
73	 2.0000 V	 0 V	 360.0 mV	 0 V	 16.9080 mA	 1.690800000 mA/um
74	 2.0000 V	 0 V	 365.0 mV	 0 V	 17.1360 mA	 1.713600000 mA/um
75	 2.0000 V	 0 V	 370.0 mV	 0 V	 17.3440 mA	 1.734400000 mA/um
76	 2.0000 V	 0 V	 375.0 mV	 0 V	 17.5610 mA	 1.756100000 mA/um
77	 2.0000 V	 0 V	 380.0 mV	 0 V	 17.7860 mA	 1.778600000 mA/um
78	 2.0000 V	 0 V	 385.0 mV	 0 V	 18.0130 mA	 1.801300000 mA/um
79	 2.0000 V	 0 V	 390.0 mV	 0 V	 18.2190 mA	 1.821900000 mA/um
80	 2.0000 V	 0 V	 395.0 mV	 0 V	 18.4320 mA	 1.843200000 mA/um
81	 2.0000 V	 0 V	 400.0 mV	 0 V	 18.6550 mA	 1.865500000 mA/um
82	 2.0000 V	 0 V	 405.0 mV	 0 V	 18.8820 mA	 1.888200000 mA/um
