Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 2.0000 V	 0 V	 0 V	 0 V	 7.91650 uA	 791.6500000 nA/um
2	 2.0000 V	 0 V	 5.0 mV	 0 V	 183.640 uA	 18.36400000 uA/um
3	 2.0000 V	 0 V	 10.0 mV	 0 V	 360.820 uA	 36.08200000 uA/um
4	 2.0000 V	 0 V	 15.0 mV	 0 V	 535.960 uA	 53.59600000 uA/um
5	 2.0000 V	 0 V	 20.0 mV	 0 V	 714.680 uA	 71.46800000 uA/um
6	 2.0000 V	 0 V	 25.0 mV	 0 V	 888.970 uA	 88.89700000 uA/um
7	 2.0000 V	 0 V	 30.0 mV	 0 V	 1.067410 mA	 106.7410000 uA/um
8	 2.0000 V	 0 V	 35.0 mV	 0 V	 1.23850 mA	 123.8500000 uA/um
9	 2.0000 V	 0 V	 40.0 mV	 0 V	 1.42080 mA	 142.0800000 uA/um
10	 2.0000 V	 0 V	 45.0 mV	 0 V	 1.58420 mA	 158.4200000 uA/um
11	 2.0000 V	 0 V	 50.0 mV	 0 V	 1.75620 mA	 175.6200000 uA/um
12	 2.0000 V	 0 V	 55.0 mV	 0 V	 1.94190 mA	 194.1900000 uA/um
13	 2.0000 V	 0 V	 60.0 mV	 0 V	 2.10520 mA	 210.5200000 uA/um
14	 2.0000 V	 0 V	 65.0 mV	 0 V	 2.26880 mA	 226.8800000 uA/um
15	 2.0000 V	 0 V	 70.0 mV	 0 V	 2.45120 mA	 245.1200000 uA/um
16	 2.0000 V	 0 V	 75.0 mV	 0 V	 2.62210 mA	 262.2100000 uA/um
17	 2.0000 V	 0 V	 80.0 mV	 0 V	 2.77680 mA	 277.6800000 uA/um
18	 2.0000 V	 0 V	 85.0 mV	 0 V	 2.94410 mA	 294.4100000 uA/um
19	 2.0000 V	 0 V	 90.0 mV	 0 V	 3.12500 mA	 312.5000000 uA/um
20	 2.0000 V	 0 V	 95.0 mV	 0 V	 3.28950 mA	 328.9500000 uA/um
21	 2.0000 V	 0 V	 100.0 mV	 0 V	 3.44100 mA	 344.1000000 uA/um
22	 2.0000 V	 0 V	 105.0 mV	 0 V	 3.60900 mA	 360.9000000 uA/um
23	 2.0000 V	 0 V	 110.0 mV	 0 V	 3.78680 mA	 378.6800000 uA/um
24	 2.0000 V	 0 V	 115.0 mV	 0 V	 3.95090 mA	 395.0900000 uA/um
25	 2.0000 V	 0 V	 120.0 mV	 0 V	 4.09080 mA	 409.0800000 uA/um
26	 2.0000 V	 0 V	 125.0 mV	 0 V	 4.26340 mA	 426.3400000 uA/um
27	 2.0000 V	 0 V	 130.0 mV	 0 V	 4.43460 mA	 443.4600000 uA/um
28	 2.0000 V	 0 V	 135.0 mV	 0 V	 4.57210 mA	 457.2100000 uA/um
29	 2.0000 V	 0 V	 140.0 mV	 0 V	 4.73430 mA	 473.4300000 uA/um
30	 2.0000 V	 0 V	 145.0 mV	 0 V	 4.91360 mA	 491.3600000 uA/um
31	 2.0000 V	 0 V	 150.0 mV	 0 V	 5.05520 mA	 505.5200000 uA/um
32	 2.0000 V	 0 V	 155.0 mV	 0 V	 5.19860 mA	 519.8600000 uA/um
33	 2.0000 V	 0 V	 160.0 mV	 0 V	 5.37350 mA	 537.3500000 uA/um
34	 2.0000 V	 0 V	 165.0 mV	 0 V	 5.53480 mA	 553.4800000 uA/um
35	 2.0000 V	 0 V	 170.0 mV	 0 V	 5.65580 mA	 565.5800000 uA/um
36	 2.0000 V	 0 V	 175.0 mV	 0 V	 5.82950 mA	 582.9500000 uA/um
37	 2.0000 V	 0 V	 180.0 mV	 0 V	 5.99540 mA	 599.5400000 uA/um
38	 2.0000 V	 0 V	 185.0 mV	 0 V	 6.12980 mA	 612.9800000 uA/um
39	 2.0000 V	 0 V	 190.0 mV	 0 V	 6.26270 mA	 626.2700000 uA/um
40	 2.0000 V	 0 V	 195.0 mV	 0 V	 6.42300 mA	 642.3000000 uA/um
41	 2.0000 V	 0 V	 200.0 mV	 0 V	 6.59490 mA	 659.4900000 uA/um
42	 2.0000 V	 0 V	 205.0 mV	 0 V	 6.73190 mA	 673.1900000 uA/um
43	 2.0000 V	 0 V	 210.0 mV	 0 V	 6.84870 mA	 684.8700000 uA/um
44	 2.0000 V	 0 V	 215.0 mV	 0 V	 7.02340 mA	 702.3400000 uA/um
45	 2.0000 V	 0 V	 220.0 mV	 0 V	 7.17410 mA	 717.4100000 uA/um
46	 2.0000 V	 0 V	 225.0 mV	 0 V	 7.27350 mA	 727.3500000 uA/um
47	 2.0000 V	 0 V	 230.0 mV	 0 V	 7.42610 mA	 742.6100000 uA/um
48	 2.0000 V	 0 V	 235.0 mV	 0 V	 7.60760 mA	 760.7600000 uA/um
49	 2.0000 V	 0 V	 240.0 mV	 0 V	 7.71020 mA	 771.0200000 uA/um
50	 2.0000 V	 0 V	 245.0 mV	 0 V	 7.84120 mA	 784.1200000 uA/um
51	 2.0000 V	 0 V	 250.0 mV	 0 V	 8.02480 mA	 802.4800000 uA/um
52	 2.0000 V	 0 V	 255.0 mV	 0 V	 8.15970 mA	 815.9700000 uA/um
53	 2.0000 V	 0 V	 260.0 mV	 0 V	 8.26440 mA	 826.4400000 uA/um
54	 2.0000 V	 0 V	 265.0 mV	 0 V	 8.38330 mA	 838.3300000 uA/um
55	 2.0000 V	 0 V	 270.0 mV	 0 V	 8.55820 mA	 855.8200000 uA/um
56	 2.0000 V	 0 V	 275.0 mV	 0 V	 8.69930 mA	 869.9300000 uA/um
57	 2.0000 V	 0 V	 280.0 mV	 0 V	 8.78730 mA	 878.7300000 uA/um
58	 2.0000 V	 0 V	 285.0 mV	 0 V	 8.92280 mA	 892.2800000 uA/um
59	 2.0000 V	 0 V	 290.0 mV	 0 V	 9.09710 mA	 909.7100000 uA/um
60	 2.0000 V	 0 V	 295.0 mV	 0 V	 9.21930 mA	 921.9300000 uA/um
61	 2.0000 V	 0 V	 300.0 mV	 0 V	 9.31540 mA	 931.5400000 uA/um
62	 2.0000 V	 0 V	 305.0 mV	 0 V	 9.48640 mA	 948.6400000 uA/um
63	 2.0000 V	 0 V	 310.0 mV	 0 V	 9.62290 mA	 962.2900000 uA/um
64	 2.0000 V	 0 V	 315.0 mV	 0 V	 9.69360 mA	 969.3600000 uA/um
65	 2.0000 V	 0 V	 320.0 mV	 0 V	 9.84360 mA	 984.3600000 uA/um
66	 2.0000 V	 0 V	 325.0 mV	 0 V	 10.01160 mA	 1.001160000 mA/um
67	 2.0000 V	 0 V	 330.0 mV	 0 V	 10.10290 mA	 1.010290000 mA/um
68	 2.0000 V	 0 V	 335.0 mV	 0 V	 10.20130 mA	 1.020130000 mA/um
69	 2.0000 V	 0 V	 340.0 mV	 0 V	 10.38460 mA	 1.038460000 mA/um
