Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 2.0000 V	 0 V	 0 V	 0 V	 10.93210 uA	 1.093210000 uA/um
2	 2.0000 V	 0 V	 5.0 mV	 0 V	 261.610 uA	 26.16100000 uA/um
3	 2.0000 V	 0 V	 10.0 mV	 0 V	 511.570 uA	 51.15700000 uA/um
4	 2.0000 V	 0 V	 15.0 mV	 0 V	 765.070 uA	 76.50700000 uA/um
5	 2.0000 V	 0 V	 20.0 mV	 0 V	 1.023900 mA	 102.3900000 uA/um
6	 2.0000 V	 0 V	 25.0 mV	 0 V	 1.27690 mA	 127.6900000 uA/um
7	 2.0000 V	 0 V	 30.0 mV	 0 V	 1.52190 mA	 152.1900000 uA/um
8	 2.0000 V	 0 V	 35.0 mV	 0 V	 1.77300 mA	 177.3000000 uA/um
9	 2.0000 V	 0 V	 40.0 mV	 0 V	 2.03860 mA	 203.8600000 uA/um
10	 2.0000 V	 0 V	 45.0 mV	 0 V	 2.28470 mA	 228.4700000 uA/um
11	 2.0000 V	 0 V	 50.0 mV	 0 V	 2.52890 mA	 252.8900000 uA/um
12	 2.0000 V	 0 V	 55.0 mV	 0 V	 2.79730 mA	 279.7300000 uA/um
13	 2.0000 V	 0 V	 60.0 mV	 0 V	 3.04710 mA	 304.7100000 uA/um
14	 2.0000 V	 0 V	 65.0 mV	 0 V	 3.28570 mA	 328.5700000 uA/um
15	 2.0000 V	 0 V	 70.0 mV	 0 V	 3.53620 mA	 353.6200000 uA/um
16	 2.0000 V	 0 V	 75.0 mV	 0 V	 3.80620 mA	 380.6200000 uA/um
17	 2.0000 V	 0 V	 80.0 mV	 0 V	 4.05110 mA	 405.1100000 uA/um
18	 2.0000 V	 0 V	 85.0 mV	 0 V	 4.28860 mA	 428.8600000 uA/um
19	 2.0000 V	 0 V	 90.0 mV	 0 V	 4.54400 mA	 454.4000000 uA/um
20	 2.0000 V	 0 V	 95.0 mV	 0 V	 4.81040 mA	 481.0400000 uA/um
21	 2.0000 V	 0 V	 100.0 mV	 0 V	 5.05160 mA	 505.1600000 uA/um
22	 2.0000 V	 0 V	 105.0 mV	 0 V	 5.28830 mA	 528.8300000 uA/um
23	 2.0000 V	 0 V	 110.0 mV	 0 V	 5.55390 mA	 555.3900000 uA/um
24	 2.0000 V	 0 V	 115.0 mV	 0 V	 5.80570 mA	 580.5700000 uA/um
25	 2.0000 V	 0 V	 120.0 mV	 0 V	 6.03680 mA	 603.6800000 uA/um
26	 2.0000 V	 0 V	 125.0 mV	 0 V	 6.29030 mA	 629.0300000 uA/um
27	 2.0000 V	 0 V	 130.0 mV	 0 V	 6.55100 mA	 655.1000000 uA/um
28	 2.0000 V	 0 V	 135.0 mV	 0 V	 6.79380 mA	 679.3800000 uA/um
29	 2.0000 V	 0 V	 140.0 mV	 0 V	 7.03000 mA	 703.0000000 uA/um
30	 2.0000 V	 0 V	 145.0 mV	 0 V	 7.29010 mA	 729.0100000 uA/um
31	 2.0000 V	 0 V	 150.0 mV	 0 V	 7.54550 mA	 754.5500000 uA/um
32	 2.0000 V	 0 V	 155.0 mV	 0 V	 7.78380 mA	 778.3800000 uA/um
33	 2.0000 V	 0 V	 160.0 mV	 0 V	 8.01770 mA	 801.7700000 uA/um
34	 2.0000 V	 0 V	 165.0 mV	 0 V	 8.28970 mA	 828.9700000 uA/um
35	 2.0000 V	 0 V	 170.0 mV	 0 V	 8.52390 mA	 852.3900000 uA/um
36	 2.0000 V	 0 V	 175.0 mV	 0 V	 8.75650 mA	 875.6500000 uA/um
37	 2.0000 V	 0 V	 180.0 mV	 0 V	 9.01620 mA	 901.6200000 uA/um
38	 2.0000 V	 0 V	 185.0 mV	 0 V	 9.27320 mA	 927.3200000 uA/um
39	 2.0000 V	 0 V	 190.0 mV	 0 V	 9.50800 mA	 950.8000000 uA/um
40	 2.0000 V	 0 V	 195.0 mV	 0 V	 9.73470 mA	 973.4700000 uA/um
